Operator,In Out Travelling,Network Type,Rating,Call Drop Category,Latitude,Longitude,State Name
Airtel,Outdoor,4G,1,1,29.025606899999996,79.397337,Uttarakhand
RJio,Indoor,4G,4,2,22.07230152,82.14503891,Chhattisgarh
Airtel,Indoor,4G,2,0,17.66807979,75.89820187,Maharashtra
Vodafone,Outdoor,4G,4,2,28.505006599999998,77.08829759999999,Haryana
Vodafone,Outdoor,4G,4,2,18.98192505,72.82777268,Maharashtra
RJio,Indoor,4G,5,2,18.60500889,73.87634312,Maharashtra
Airtel,Outdoor,4G,5,2,28.735229999999998,77.76065,Uttar Pradesh
Airtel,Outdoor,4G,2,1,12.72473286,77.27342468,Karnataka
Vodafone,Travelling,3G,5,2,28.56071721,77.38041322,Uttar Pradesh
RJio,Outdoor,4G,5,2,18.72914173,73.4289181,Maharashtra
Vodafone,Indoor,3G,2,1,20.366554100000002,72.9207517,Gujarat
Idea,Indoor,4G,5,2,28.52537501,77.2749668,Uttar Pradesh
RJio,Outdoor,4G,1,1,18.6241503,73.7344181,Maharashtra
Airtel,Outdoor,4G,3,2,22.151865,84.22935,Odisha
RJio,Indoor,4G,1,1,30.35587557,76.79839172,Haryana
RJio,Travelling,4G,1,1,17.38748493,78.48606276,Telangana
BSNL,Indoor,4G,5,2,11.85241548,78.07095282,Tamil Nadu
RJio,Travelling,4G,5,2,24.553865300000002,73.6936965,Rajasthan
Airtel,Indoor,4G,5,2,26.29476436,89.46287295,West Bengal
RJio,Outdoor,4G,1,1,22.6256207,75.7878843,Madhya Pradesh
RJio,Travelling,4G,5,2,18.94500586,72.83782624,Maharashtra
RJio,Indoor,4G,5,2,30.69635199,76.86034583,Chandigarh
RJio,Outdoor,4G,5,2,19.06602423,73.00214969,Maharashtra
BSNL,Indoor,3G,5,2,24.7432491,85.5415101,Bihar
RJio,Indoor,4G,5,2,28.53328365,77.21672281,NCT
Airtel,Travelling,4G,5,2,18.4218494,79.1350319,Telangana
Vodafone,Travelling,4G,5,2,12.81887514,79.69382272,Tamil Nadu
RJio,Indoor,4G,5,2,11.37935387,77.75542594,Tamil Nadu
RJio,Indoor,4G,5,2,30.74528072,76.76696725,Chandigarh
Idea,Indoor,3G,5,2,18.6466072,73.7503179,Maharashtra
Vodafone,Indoor,3G,1,0,19.067014999999998,73.0044,Maharashtra
Airtel,Indoor,4G,4,2,22.27949382,73.14957552,Gujarat
Airtel,Indoor,4G,5,2,22.2606995,70.80544909999999,Gujarat
RJio,Indoor,4G,4,2,18.6049273,73.87549720000001,Maharashtra
Airtel,Indoor,4G,3,2,22.38452306,73.11172358,Gujarat
Airtel,Outdoor,3G,3,2,12.98505506,77.64313578,Karnataka
BSNL,Indoor,3G,5,2,19.9985,73.80176999999999,Maharashtra
RJio,Indoor,4G,2,1,18.58386881,74.00323909999999,Maharashtra
Idea,Travelling,4G,4,2,16.72558969,74.4360183,Maharashtra
BSNL,Outdoor,3G,3,2,22.30035,70.79169667,Gujarat
Airtel,Indoor,3G,4,2,28.63018167,77.115925,NCT
RJio,Indoor,4G,1,1,21.17522857,72.85622612,Gujarat
