Max Depth,Accuracy
10,0.700244841
15,0.754809374
20,0.835257083
25,0.892619797
30,0.901014341
35,0.899265477
40,0.899265477
45,0.899265477
50,0.899265477
55,0.899265477
60,0.899265477
65,0.899265477
